,0,1,2
0,Average Annual Precipitation (mm/year),Use of Nitrogen per area of cropland (kg/ha),0.4794650764026132
1,"Cropland (Eco. Footprint, gha)",Food supply (kcal/capita/day),0.6912297507434088
2,"Cropland (Eco. Footprint, gha)","Grazing Land (Eco. Footprint, gha)",0.8788790157211211
3,Emissions of CO2eq from Forests (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),-0.7553984837012856
4,Emissions of CO2eq from Agriculture (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.3325999712469694
5,"Built-up Land (Biocapacity, gha)","Death Rate, Crude (annually per 1000 people)",-0.9993848257006153
6,Emissions of CO2eq from Waste (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.3325999712469694
7,Emissions of CO2eq from Transportation (gigagrams),Industrial Production (% Relative to 2015),0.6239561318243023
8,Industrial Production (% Relative to 2015),"Total (Eco. Footprint, gha)",0.9835142226493659
9,Food supply (kcal/capita/day),"Grazing Land (Biocapacity, gha)",0.755554038268087
10,Major livestock density in agricultural areas (LSU/ha),Year,0.9886534518113466
11,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Death Rate, Crude (annually per 1000 people)",-0.7667654560953903
12,Total Renewable Water Resources (10^9 m^3/year),Total Renewable Water Resources (10^9 m^3/year),1.0
13,Emissions of CO2eq from Waste (gigagrams),Year,0.5921211648010414
14,"Forest Products (Eco. Footprint, gha)",Total Emissions of CO2eq (gigagrams),0.4819042406041401
15,"Cropland (Eco. Footprint, gha)","Forest Products (Biocapacity, gha)",-0.8809979494190021
16,"Carbon (Eco. Footprint, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.8421104925979073
17,Major livestock density in agricultural areas (LSU/ha),Use of Pesticides per area of cropland (kg/ha),0.9132280119533286
18,"Death Rate, Crude (annually per 1000 people)",Use of Phosphate per area of cropland (kg/ha),-0.7712801905367291
19,"Cropland (Biocapacity, gha)","Cropland (Biocapacity, gha)",1.0
20,"Forest Products (Biocapacity, gha)","Total (Biocapacity, gha)",-0.8771018455228982
21,"Grazing Land (Eco. Footprint, gha)","Total (Eco. Footprint, gha)",0.8781954887218046
22,"Cropland (Eco. Footprint, gha)","Total (Eco. Footprint, gha)",0.9954887218045115
23,"Cropland (Biocapacity, gha)",Use of Phosphate per area of cropland (kg/ha),0.7689126865412208
24,"Cropland (Eco. Footprint, gha)","Fishing Grounds (Biocapacity, gha)",-0.7122351332877649
25,Industrial Production (% Relative to 2015),Use of Phosphate per area of cropland (kg/ha),0.7744314637509967
26,Emissions of CO2eq from Forests (gigagrams),Population (1000 persons),-0.5013219155518109
27,"Built-up Land (Eco. Footprint, gha)","Grazing Land (Eco. Footprint, gha)",0.883937115516063
28,"Built-up Land (Eco. Footprint, gha)",Major livestock density in agricultural areas (LSU/ha),0.9883116883116884
29,"Cropland (Biocapacity, gha)",Emissions of CO2eq from Agriculture (gigagrams),0.5910991819090585
30,Total Emissions of CO2eq (gigagrams),Use of Phosphate per area of cropland (kg/ha),0.3313897833588664
31,Emissions of CO2eq from Land Use Sources (gigagrams),"Forest Products (Biocapacity, gha)",-0.13042073983071262
32,"Cropland (Eco. Footprint, gha)","Grazing Land (Biocapacity, gha)",0.734107997265892
33,Emissions of CO2eq from Forests (gigagrams),Emissions of CO2eq from Transportation (gigagrams),-0.89376130198915
34,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",0.9999999999999999
35,Emissions of CO2eq from Land Use Sources (gigagrams),Emissions of CO2eq from Land Use Sources (gigagrams),1.0
36,Average Annual Precipitation (mm/year),Emissions of CO2eq from Forests (gigagrams),-0.7553984837012856
37,"Birth Rate, Crude (annually per 1000 people)","Carbon (Eco. Footprint, gha)",-0.9884483937115517
38,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Emissions of CO2eq from Waste (gigagrams),0.7823831683565312
39,"Grazing Land (Biocapacity, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.9146439056417304
40,Average Annual Precipitation (mm/year),Total Renewable Water Resources Per Capita (m^3/capita/year),1.0
41,Emissions of CO2eq from Transportation (gigagrams),"Grazing Land (Eco. Footprint, gha)",0.8172718573116868
42,Emissions of CO2eq from Land Use Sources (gigagrams),"Grazing Land (Eco. Footprint, gha)",0.7232494312492803
43,Average Annual Precipitation (mm/year),Average Annual Precipitation (mm/year),1.0
44,Emissions of CO2eq from Other Sources (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),0.7557982077375335
45,"Built-up Land (Biocapacity, gha)",Emissions of CO2eq from Forests (gigagrams),-0.5011646874145829
46,"Built-up Land (Biocapacity, gha)","Built-up Land (Biocapacity, gha)",1.0
47,"Total (Eco. Footprint, gha)",Use of Potash per area of cropland (kg/ha),0.7722447292015658
48,Emissions of CO2eq from Transportation (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.3306838404241396
49,"Cropland (Biocapacity, gha)","Grazing Land (Eco. Footprint, gha)",0.8788790157211211
50,Average Annual Precipitation (mm/year),"Death Rate, Crude (annually per 1000 people)",-0.8474627425302259
51,Total Renewable Water Resources Per Capita (m^3/capita/year),Use of Pesticides per area of cropland (kg/ha),0.7839796231541019
52,Emissions of CO2eq from Waste (gigagrams),Use of Potash per area of cropland (kg/ha),0.3509544875498645
53,Emissions of CO2eq from Waste (gigagrams),Total Emissions of CO2eq (gigagrams),0.9983725135623869
54,Emissions of CO2eq from Waste (gigagrams),Food supply (kcal/capita/day),0.726443650075795
55,Emissions of CO2eq from Other Sources (gigagrams),Major livestock density in agricultural areas (LSU/ha),0.551006006915892
56,"Total (Eco. Footprint, gha)",Use of Nitrogen per area of cropland (kg/ha),0.7784703878564212
57,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Fishing Grounds (Biocapacity, gha)",-0.4577630695339202
58,"Forest Products (Biocapacity, gha)",Use of Phosphate per area of cropland (kg/ha),-0.7671589798778813
59,Industrial Production (% Relative to 2015),Use of Potash per area of cropland (kg/ha),0.7774362189452835
60,Emissions of CO2eq from Energy Production (gigagrams),"Total (Eco. Footprint, gha)",0.5918853225951991
61,"Total (Biocapacity, gha)",Total Emissions of CO2eq (gigagrams),0.5886621457820229
62,"Forest Products (Biocapacity, gha)",Use of Potash per area of cropland (kg/ha),-0.7658436998803766
63,"Birth Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Forests (gigagrams),0.5013219155518109
64,"Cropland (Biocapacity, gha)","Cropland (Eco. Footprint, gha)",1.0
65,"Death Rate, Crude (annually per 1000 people)","Total (Eco. Footprint, gha)",-0.9967874231032126
66,"Built-up Land (Eco. Footprint, gha)","Built-up Land (Eco. Footprint, gha)",1.0
67,"Built-up Land (Eco. Footprint, gha)","Forest Products (Biocapacity, gha)",-0.8798359535201641
68,"Forest Products (Biocapacity, gha)",Industrial Production (% Relative to 2015),-0.8665038274425613
69,"Fishing Grounds (Biocapacity, gha)","Forest Products (Eco. Footprint, gha)",-0.8147641831852359
70,"Birth Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Land Use Sources (gigagrams),-0.4851274174173162
71,"Cropland (Eco. Footprint, gha)","Cropland (Eco. Footprint, gha)",1.0
72,"Birth Rate, Crude (annually per 1000 people)","Forest Products (Eco. Footprint, gha)",-0.9376623376623378
73,Population (1000 persons),"Total (Biocapacity, gha)",0.9974709501025291
74,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Emissions of CO2eq from Land Use Sources (gigagrams),0.7014559949794869
75,Food supply (kcal/capita/day),Total Emissions of CO2eq (gigagrams),0.7250285001081148
76,"Built-up Land (Biocapacity, gha)",Year,0.9995898838004101
77,Emissions of CO2eq from Agriculture (gigagrams),Use of Potash per area of cropland (kg/ha),0.3509544875498645
78,"Fishing Grounds (Eco. Footprint, gha)","Forest Products (Biocapacity, gha)",-0.8593301435406699
79,"Total (Eco. Footprint, gha)",Use of Phosphate per area of cropland (kg/ha),0.7712801905367291
80,Emissions of CO2eq from Land Use Sources (gigagrams),Total Emissions of CO2eq (gigagrams),0.8835443037974682
81,Total Renewable Water Resources Per Capita (m^3/capita/year),Year,0.8478102912271297
82,Use of Potash per area of cropland (kg/ha),Year,0.7703156518718924
83,"Cropland (Eco. Footprint, gha)",Total Renewable Water Resources (10^9 m^3/year),0.8441957847793302
84,"Death Rate, Crude (annually per 1000 people)",Emissions of CO2eq from Waste (gigagrams),-0.5920425507324272
85,Use of Nitrogen per area of cropland (kg/ha),Use of Nitrogen per area of cropland (kg/ha),0.9999999999999999
86,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Use of Pesticides per area of cropland (kg/ha),0.8293301354662932
87,"Fishing Grounds (Eco. Footprint, gha)",Population (1000 persons),0.9847573479152427
88,"Birth Rate, Crude (annually per 1000 people)","Fishing Grounds (Biocapacity, gha)",0.6927546138072455
89,Total Renewable Water Resources (10^9 m^3/year),Use of Potash per area of cropland (kg/ha),0.4883820389542705
90,"Fishing Grounds (Biocapacity, gha)","Fishing Grounds (Biocapacity, gha)",1.0
91,Emissions of CO2eq from Other Sources (gigagrams),Use of Phosphate per area of cropland (kg/ha),0.2495004029305646
92,"Birth Rate, Crude (annually per 1000 people)","Built-up Land (Eco. Footprint, gha)",-0.9915926179084074
93,Emissions of CO2eq from Land Use Sources (gigagrams),Population (1000 persons),0.4851274174173162
94,"Death Rate, Crude (annually per 1000 people)","Grazing Land (Biocapacity, gha)",-0.7397129186602871
95,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Population (1000 persons),0.7666138914667886
96,Emissions of CO2eq from Land Use Sources (gigagrams),Total Renewable Water Resources (10^9 m^3/year),0.7510015193025585
97,Population (1000 persons),Total Renewable Water Resources (10^9 m^3/year),0.8478102912271297
98,"Carbon (Eco. Footprint, gha)",Population (1000 persons),0.9905673274094328
99,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Food supply (kcal/capita/day),0.7343429304550501
100,Total Renewable Water Resources Per Capita (m^3/capita/year),Use of Nitrogen per area of cropland (kg/ha),0.4794650764026132
101,Emissions of CO2eq from Waste (gigagrams),Use of Phosphate per area of cropland (kg/ha),0.3312889343681912
102,"Forest Products (Biocapacity, gha)",Use of Nitrogen per area of cropland (kg/ha),-0.775489086528744
103,Average Annual Precipitation (mm/year),Emissions of CO2eq from Energy Production (gigagrams),0.814957365102223
104,Emissions of CO2eq from Forests (gigagrams),Emissions of CO2eq from Forests (gigagrams),1.0
105,"Death Rate, Crude (annually per 1000 people)","Fishing Grounds (Biocapacity, gha)",0.7062884483937116
106,Emissions of CO2eq from Transportation (gigagrams),"Total (Biocapacity, gha)",0.5887407598506371
107,"Forest Products (Eco. Footprint, gha)",Use of Pesticides per area of cropland (kg/ha),0.8326512359974498
108,"Death Rate, Crude (annually per 1000 people)",Total Renewable Water Resources (10^9 m^3/year),-0.8474627425302259
109,"Built-up Land (Eco. Footprint, gha)","Forest Products (Eco. Footprint, gha)",0.9449077238550924
110,"Built-up Land (Biocapacity, gha)","Fishing Grounds (Biocapacity, gha)",-0.706015037593985
111,Emissions of CO2eq from Forests (gigagrams),"Grazing Land (Eco. Footprint, gha)",-0.7205765529164027
112,Major livestock density in agricultural areas (LSU/ha),Total Renewable Water Resources Per Capita (m^3/capita/year),0.8240379603589097
113,Total Emissions of CO2eq (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),0.8101606766672482
114,"Grazing Land (Biocapacity, gha)",Use of Nitrogen per area of cropland (kg/ha),0.2726137008161313
115,Emissions of CO2eq from Land Use Sources (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),0.7510015193025585
116,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Emissions of CO2eq from Forests (gigagrams),-0.706903435298351
117,"Grazing Land (Biocapacity, gha)","Total (Eco. Footprint, gha)",0.7382091592617909
118,Food supply (kcal/capita/day),"Total (Biocapacity, gha)",0.6915715376059202
119,"Birth Rate, Crude (annually per 1000 people)",Population (1000 persons),-0.9923444976076556
120,"Built-up Land (Biocapacity, gha)","Total (Eco. Footprint, gha)",0.9965823650034177
121,"Grazing Land (Eco. Footprint, gha)",Major livestock density in agricultural areas (LSU/ha),0.8723855092276145
122,"Cropland (Biocapacity, gha)","Total (Biocapacity, gha)",0.9989747095010254
123,"Cropland (Eco. Footprint, gha)",Emissions of CO2eq from Waste (gigagrams),0.5903916552915321
124,Emissions of CO2eq from Forests (gigagrams),Industrial Production (% Relative to 2015),-0.5247570109298227
125,Emissions of CO2eq from Transportation (gigagrams),Food supply (kcal/capita/day),0.7247140223375192
126,"Birth Rate, Crude (annually per 1000 people)","Forest Products (Biocapacity, gha)",0.8770334928229666
127,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Use of Phosphate per area of cropland (kg/ha),0.5532094296825572
128,"Birth Rate, Crude (annually per 1000 people)","Cropland (Biocapacity, gha)",-0.9891319207108682
129,Emissions of CO2eq from Land Use Sources (gigagrams),Major livestock density in agricultural areas (LSU/ha),0.4874072254071237
130,"Grazing Land (Biocapacity, gha)",Year,0.7384142173615857
131,"Forest Products (Biocapacity, gha)",Use of Pesticides per area of cropland (kg/ha),-0.7193723681545414
132,Emissions of CO2eq from Waste (gigagrams),"Forest Products (Biocapacity, gha)",-0.34362209391202225
133,Average Annual Precipitation (mm/year),"Carbon (Eco. Footprint, gha)",0.8421104925979073
134,"Grazing Land (Biocapacity, gha)",Population (1000 persons),0.7384142173615857
135,Industrial Production (% Relative to 2015),Major livestock density in agricultural areas (LSU/ha),0.9711828356949839
136,Emissions of CO2eq from Other Sources (gigagrams),"Fishing Grounds (Eco. Footprint, gha)",0.5412578624077495
137,Emissions of CO2eq from Waste (gigagrams),Major livestock density in agricultural areas (LSU/ha),0.5792284575483367
138,"Carbon (Eco. Footprint, gha)","Grazing Land (Eco. Footprint, gha)",0.8699931647300069
139,Industrial Production (% Relative to 2015),Use of Pesticides per area of cropland (kg/ha),0.9292460692960238
140,"Cropland (Biocapacity, gha)","Grazing Land (Biocapacity, gha)",0.734107997265892
141,Emissions of CO2eq from Forests (gigagrams),"Fishing Grounds (Biocapacity, gha)",0.4154753526252659
142,Emissions of CO2eq from Forests (gigagrams),"Forest Products (Biocapacity, gha)",0.15078178360175212
143,"Fishing Grounds (Biocapacity, gha)","Total (Eco. Footprint, gha)",-0.7076555023923445
144,Emissions of CO2eq from Transportation (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),0.8177554333559582
145,Total Emissions of CO2eq (gigagrams),Total Emissions of CO2eq (gigagrams),1.0
146,Use of Phosphate per area of cropland (kg/ha),Use of Potash per area of cropland (kg/ha),0.9925759280089989
147,"Cropland (Biocapacity, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.8441957847793302
148,"Cropland (Biocapacity, gha)","Fishing Grounds (Eco. Footprint, gha)",0.9813397129186603
149,"Carbon (Eco. Footprint, gha)","Total (Eco. Footprint, gha)",0.996719070403281
150,"Fishing Grounds (Biocapacity, gha)","Total (Biocapacity, gha)",-0.7047846889952154
151,"Cropland (Eco. Footprint, gha)","Fishing Grounds (Eco. Footprint, gha)",0.9813397129186603
152,"Birth Rate, Crude (annually per 1000 people)",Food supply (kcal/capita/day),-0.686513092040749
153,Emissions of CO2eq from Land Use Sources (gigagrams),Year,0.4851274174173162
154,Total Emissions of CO2eq (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.3327008202376446
155,Emissions of CO2eq from Other Sources (gigagrams),Industrial Production (% Relative to 2015),0.5726134558341883
156,"Forest Products (Eco. Footprint, gha)","Total (Eco. Footprint, gha)",0.947505126452495
157,"Cropland (Biocapacity, gha)",Emissions of CO2eq from Other Sources (gigagrams),0.5451885658384521
158,Food supply (kcal/capita/day),Population (1000 persons),0.6943058325060129
159,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Built-up Land (Eco. Footprint, gha)",0.7666896737810893
160,"Forest Products (Biocapacity, gha)","Grazing Land (Biocapacity, gha)",-0.512987012987013
161,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Emissions of CO2eq from Transportation (gigagrams),0.786043848250808
162,"Fishing Grounds (Eco. Footprint, gha)",Major livestock density in agricultural areas (LSU/ha),0.9712235133287764
163,Emissions of CO2eq from Agriculture (gigagrams),"Total (Biocapacity, gha)",0.5903130412229182
164,"Built-up Land (Biocapacity, gha)","Grazing Land (Biocapacity, gha)",0.7375939849624061
165,Emissions of CO2eq from Agriculture (gigagrams),"Forest Products (Eco. Footprint, gha)",0.4859135581034567
166,"Birth Rate, Crude (annually per 1000 people)",Major livestock density in agricultural areas (LSU/ha),-0.9820915926179086
167,Emissions of CO2eq from Energy Production (gigagrams),Use of Potash per area of cropland (kg/ha),0.35155958149391603
168,"Forest Products (Eco. Footprint, gha)","Forest Products (Eco. Footprint, gha)",1.0
169,Emissions of CO2eq from Agriculture (gigagrams),Emissions of CO2eq from Waste (gigagrams),0.9990054249547919
170,"Cropland (Eco. Footprint, gha)",Emissions of CO2eq from Other Sources (gigagrams),0.5451885658384521
171,"Carbon (Eco. Footprint, gha)","Forest Products (Biocapacity, gha)",-0.8691045796308955
172,Emissions of CO2eq from Transportation (gigagrams),Major livestock density in agricultural areas (LSU/ha),0.5776561761760556
173,"Forest Products (Eco. Footprint, gha)",Use of Nitrogen per area of cropland (kg/ha),0.7280513212854096
174,"Grazing Land (Biocapacity, gha)",Use of Phosphate per area of cropland (kg/ha),0.2866433541228476
175,"Death Rate, Crude (annually per 1000 people)","Fishing Grounds (Eco. Footprint, gha)",-0.9848257006151743
176,Average Annual Precipitation (mm/year),"Cropland (Eco. Footprint, gha)",0.8441957847793302
177,"Cropland (Biocapacity, gha)",Total Renewable Water Resources (10^9 m^3/year),0.8441957847793302
178,"Birth Rate, Crude (annually per 1000 people)","Total (Biocapacity, gha)",-0.9894736842105263
179,"Grazing Land (Eco. Footprint, gha)",Use of Phosphate per area of cropland (kg/ha),0.5764433802397064
180,Emissions of CO2eq from Waste (gigagrams),Use of Pesticides per area of cropland (kg/ha),0.6390558925217383
181,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Industrial Production (% Relative to 2015),0.7745542973207323
182,"Carbon (Biocapacity, gha)","Grazing Land (Eco. Footprint, gha)",nan
183,"Carbon (Biocapacity, gha)","Total (Biocapacity, gha)",nan
184,Industrial Production (% Relative to 2015),Year,0.9834453322194533
185,Emissions of CO2eq from Forests (gigagrams),Use of Potash per area of cropland (kg/ha),-0.09358786334663054
186,Emissions of CO2eq from Forests (gigagrams),Emissions of CO2eq from Land Use Sources (gigagrams),-0.981374321880651
187,Emissions of CO2eq from Transportation (gigagrams),Emissions of CO2eq from Transportation (gigagrams),1.0
188,"Built-up Land (Eco. Footprint, gha)","Death Rate, Crude (annually per 1000 people)",-0.9993848257006153
189,Average Annual Precipitation (mm/year),Major livestock density in agricultural areas (LSU/ha),0.8240379603589097
190,"Carbon (Biocapacity, gha)",Emissions of CO2eq from Energy Production (gigagrams),nan
191,"Built-up Land (Biocapacity, gha)",Use of Nitrogen per area of cropland (kg/ha),0.77908418518859
192,"Forest Products (Eco. Footprint, gha)","Total (Biocapacity, gha)",0.9410799726589201
193,Emissions of CO2eq from Transportation (gigagrams),"Forest Products (Eco. Footprint, gha)",0.48992287560277337
194,Emissions of CO2eq from Waste (gigagrams),"Grazing Land (Biocapacity, gha)",0.8007629029027359
195,Use of Pesticides per area of cropland (kg/ha),Use of Pesticides per area of cropland (kg/ha),1.0
196,"Carbon (Eco. Footprint, gha)",Emissions of CO2eq from Forests (gigagrams),-0.5008502311401266
197,Emissions of CO2eq from Transportation (gigagrams),"Forest Products (Biocapacity, gha)",-0.341735356265285
198,Average Annual Precipitation (mm/year),Total Renewable Water Resources (10^9 m^3/year),1.0
199,"Death Rate, Crude (annually per 1000 people)","Total (Biocapacity, gha)",-0.9975393028024606
200,"Forest Products (Eco. Footprint, gha)",Use of Phosphate per area of cropland (kg/ha),0.74137949192679
201,Major livestock density in agricultural areas (LSU/ha),Total Emissions of CO2eq (gigagrams),0.5802504404403194
202,"Built-up Land (Biocapacity, gha)",Major livestock density in agricultural areas (LSU/ha),0.9883116883116884
203,Emissions of CO2eq from Other Sources (gigagrams),"Total (Biocapacity, gha)",0.5440879688778554
204,"Fishing Grounds (Eco. Footprint, gha)",Total Emissions of CO2eq (gigagrams),0.5892124442623213
205,"Fishing Grounds (Biocapacity, gha)","Forest Products (Biocapacity, gha)",0.6772385509227615
206,"Grazing Land (Biocapacity, gha)",Use of Potash per area of cropland (kg/ha),0.29251827144503506
207,"Built-up Land (Biocapacity, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.846837154875799
208,"Death Rate, Crude (annually per 1000 people)",Industrial Production (% Relative to 2015),-0.9834453322194534
209,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Built-up Land (Biocapacity, gha)",0.7666896737810893
210,Total Renewable Water Resources Per Capita (m^3/capita/year),Use of Phosphate per area of cropland (kg/ha),0.48882788708185343
211,Emissions of CO2eq from Other Sources (gigagrams),Food supply (kcal/capita/day),0.6750265345834172
212,"Built-up Land (Eco. Footprint, gha)","Grazing Land (Biocapacity, gha)",0.7375939849624061
213,Emissions of CO2eq from Energy Production (gigagrams),"Fishing Grounds (Biocapacity, gha)",-0.44613483938474635
214,Emissions of CO2eq from Land Use Sources (gigagrams),"Grazing Land (Biocapacity, gha)",0.8296928801527071
215,"Fishing Grounds (Eco. Footprint, gha)",Use of Phosphate per area of cropland (kg/ha),0.7739107505317385
216,Emissions of CO2eq from Energy Production (gigagrams),Emissions of CO2eq from Forests (gigagrams),-0.8954792043399638
217,Emissions of CO2eq from Agriculture (gigagrams),Industrial Production (% Relative to 2015),0.6203114356892017
218,"Carbon (Biocapacity, gha)","Cropland (Eco. Footprint, gha)",nan
219,"Fishing Grounds (Biocapacity, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),-0.6960357752892403
220,"Cropland (Biocapacity, gha)",Emissions of CO2eq from Land Use Sources (gigagrams),0.4835551360450352
221,"Built-up Land (Biocapacity, gha)","Total (Biocapacity, gha)",0.9982228298017771
222,"Forest Products (Eco. Footprint, gha)",Major livestock density in agricultural areas (LSU/ha),0.9308954203691047
223,Emissions of CO2eq from Waste (gigagrams),Industrial Production (% Relative to 2015),0.6199945055904971
224,"Fishing Grounds (Eco. Footprint, gha)",Total Renewable Water Resources (10^9 m^3/year),0.8393996127620578
225,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Emissions of CO2eq from Other Sources (gigagrams),0.7097361042641601
226,"Forest Products (Biocapacity, gha)",Year,-0.8806561859193439
227,"Birth Rate, Crude (annually per 1000 people)",Total Renewable Water Resources (10^9 m^3/year),-0.8455859795669453
228,"Birth Rate, Crude (annually per 1000 people)",Use of Phosphate per area of cropland (kg/ha),-0.7713678758698962
229,"Carbon (Eco. Footprint, gha)","Grazing Land (Biocapacity, gha)",0.7363636363636366
230,"Built-up Land (Biocapacity, gha)",Emissions of CO2eq from Other Sources (gigagrams),0.5446382673581537
